PH,time,date
4.56,8.00,09.04.2018
5.04,9.00,09.04.2018
4.72,11.50,09.04.2018
5.02,12.50,09.04.2018
5.11,15.20,09.04.2018
4.59,19.05,09.04.2018
4.80,21.05,09.04.2018
4.96,23.09,09.04.2018
5.16,23.59,09.04.2018
4.58,7.30,10.04.2018
5.81,9.40,10.04.2018
4.86,13.07,10.04.2018
4.81,16.35,10.04.2018
4.90,17.50,10.04.2018
5.73,18.14,10.04.2018
6.08,18.38,10.04.2018
6.32,19.21,10.04.2018
6.08,20.15,10.04.2018
6.32,20.54,10.04.2018
4.85,00.19,11.04.2018
4.91,9.20,11.04.2018
5.79,12.35,11.04.2018
6.25,13.35,11.04.2018
5.50,17.00,11.04.2018
4.92,20.00,11.04.2018
5.59,21.05,11.04.2018
4.82,23.59,11.04.2018
5.11,9.30,12.04.2018
5.72,16.05,12.04.2018
6.43,17.40,12.04.2018
5.08,20.30,12.04.2018
5.71,21.25,12.04.2018
6.26,21.55,12.04.2018
6.35,22.20,12.04.2018
5.25,00.10,13.04.2018
6.00,9.25,13.04.2018
5.18,15.10,13.04.2018
5.30,16.00,13.04.2018
5.28,17.06,13.04.2018
6.25,18.50,13.04.2018
6.08,20.35,13.04.2018
5.38,22.25,13.04.2018
5.56,22.45,13.04.2018
5.56,23.15,13.04.2018
5.43,00.25,14.04.2018
4.77,7.10,14.04.2018
5.27,8.30,14.04.2018
4.82,10.00,14.04.2018
6.05,17.25,14.04.2018
6.20,18.50,14.04.2018
6.56,20.50,14.04.2018
5.41,23.10,14.04.2018
5.09,00.53,15.04.2018
4.97,9.10,15.04.2018
5.91,12.45,15.04.2018
6.59,13.40,15.04.2018
5.21,17.00,15.04.2018
5.90,18.25,15.04.2018
5.92,19.35,15.04.2018
6.48,21.30,15.04.2018
5.83,23.20,15.04.2018
4.69,8.00,16.04.2018
6.29,12.30,16.04.2018
5.69,14.53,16.04.2018
6.15,15.40,16.04.2018
5.95,17.45,16.04.2018
6.33,18.40,16.04.2018
4.98,21.30,16.04.2018
4.94,23.59,16.04.2018
5.24,7.50,17.04.2018
6.20,14.30,17.04.2018
5.64,15.35,17.04.2018
5.38,16.05,17.04.2018
5.99,17.10,17.04.2018
4.88,21.20,17.04.2018
4.76,23.59,17.04.2018
4.81,7.00,18.04.2018
5.78,8.35,18.04.2018
5.56,10.20,18.04.2018
5.53,16.22,18.04.2018
5.91,19.30,18.04.2018
5.7,22.50,18.04.2018
5.49,7.00,19.04.2018
5.69,8.30,19.04.2018
5.92,14.40,19.04.2018
5.49,15.40,19.04.2018
6.01,16.45,19.04.2018
4.97,23.15,19.04.2018
4.85,23.59,19.04.2018
6.07,4.00,20.04.2018
5.69,8.40,20.04.2018
5.56,11.00,20.04.2018
6.50,13.50,20.04.2018
5.25,16.00,20.04.2018
5.87,17.50,20.04.2018
4.92,21.20,20.04.2018
4.90,22.15,20.04.2018
5.14,23.50,20.04.2018
4.70,8.20,21.04.2018
6.43,9.30,21.04.2018
6.04,15.15,21.04.2018
5.46,18.20,21.04.2018
5.55,22.00,21.04.2018
5.52,23.59,21.04.2018
4.76,7.15,22.04.2018
4.71,10.20,22.04.2018
4.72,13.30,22.04.2018
4.81,16.40,22.04.2018
5.00,21.10,22.04.2018
4.80,23.55,22.04.2018
4.55,9.00,23.04.2018
4.80,16.50,23.04.2018
4.54,20.20,23.04.2018
4.74,22.10,23.04.2018
4.84,23.59,23.04.2018
4.76,7.05,24.04.2018
5.67,9.05,24.04.2018
5.65,12.10,24.04.2018
6.15,13.45,24.04.2018
6.22,17.25,24.04.2018
6.23,18.00,24.04.2018
6.45,18.35,24.04.2018
6.66,19.20,24.04.2018
6.40,22.00,24.04.2018
5.16,23.59,24.04.2018
4.7,6.50,25.04.2018
4.97,8.55,25.04.2018
6.12,9.45,25.04.2018
4.55,12.40,25.04.2018
5.93,14.55,25.04.2018
5.83,15.50,25.04.2018
5.49,18.00,25.04.2018
5.31,21.30,25.04.2018
5.18,23.59,25.04.2018
5.86,5.50,26.04.2018
6.24,8.30,26.04.2018
6.84,10.00,26.04.2018
5.88,13.25,26.04.2018
5.04,18.00,26.04.2018
5.31,20.00,26.04.2018
5.64,21.40,26.04.2018
5.09,23.59,26.04.2018
4.81,5.25,27.04.2018
4.82,9.25,27.04.2018
4.81,12.00,27.04.2018
4.96,14.45,27.04.2018
5.66,17.10,27.04.2018
5.16,22.35,27.04.2018
5.42,23.10,27.04.2018
5.86,23.40,27.04.2018
4.63,6.55,28.04.2018
6.01,10.00,28.04.2018
6.95,13.10,28.04.2018
6.86,14.50,28.04.2018
5.94,17.00,28.04.2018
4.81,22.05,28.04.2018
5.10,23.25,28.04.2018
4.87,23.59,28.04.2018
4.64,7.10,29.04.2018
6.43,8.25,29.04.2018
6.21,9.50,29.04.2018
6.07,12.25,29.04.2018
6.28,14.20,29.04.2018
4.70,17.20,29.04.2018
5.40,19.45,29.04.2018
5.89,21.45,29.04.2018
5.60,23.40,29.04.2018
4.8,7.15,30.04.2018
5.85,8.40,30.04.2018
6.43,9.55,30.04.2018
6.38,21.50,30.04.2018
5.05,23.59,30.04.2018
4.58,5.45,01.05.2018
4.45,10.25,01.05.2018
5.24,13.55,01.05.2018
5.65,16.55,01.05.2018
5.83,18.00,01.05.2018
5.76,20.15,01.05.2018
6.10,22.00,01.05.2018
5.39,23.59,01.05.2018
4.74,6.45,02.05.2018
5.10,9.40,02.05.2018
5.13,12.50,02.05.2018
5.89,13.45,02.05.2018
5.01,18.10,02.05.2018
5.53,2.40,02.05.2018
5.05,23.59,02.05.2018
5.05,5.10,03.05.2018
5.85,7.20,03.05.2018
5.52,12.00,03.05.2018
5.01,14.20,03.05.2018
5.07,17.40,03.05.2018
