Date,Product,Weight,Time
09.04.2018,Water,300,7.00
09.04.2018,Water,250,8.00
09.04.2018,Lemon water,300,9.40
09.04.2018,Oatmeal,220,10.30
09.04.2018,Fruit tea,250,10.30
09.04.2018,Mineral water (Prolom),250,12.05
09.04.2018,Paste,12,12.05
09.04.2018,Pasta,43,12.30
09.04.2018,Apple,232,13.00
09.04.2018,Mineral water (Prolom),250,14.50
09.04.2018,Bread,200,15.20
09.04.2018,Patty with curd,146,15.20
09.04.2018,Red caviar,20,15.20
09.04.2018,Fruit tea,250,15.20
09.04.2018,Water,250,17.15
09.04.2018,Walnuts,14,17.30
09.04.2018,Dried apricots,34,17.30
09.04.2018,Mineral water (Prolom),250,18.20
09.04.2018,Paste,26,19.10
09.04.2018,Water,250,19.10
09.04.2018,Mineral water (Prolom),250,20.30
09.04.2018,Vegetable salad,155,21.15
09.04.2018,Bread,50,21.15
09.04.2018,Water,250,22.08
09.04.2018,Bread,15,22.08
09.04.2018,Curd,130,23.59
10.04.2018,Water,300,6.50
10.04.2018,Lemon water,300,10.00
10.04.2018,Oatmeal,216,11.00
10.04.2018,Fruit tea,250,11.00
10.04.2018,Mineral water (Prolom),250,12.50
10.04.2018,Halva,42,13.10
10.04.2018,Water,250,13.20
10.04.2018,Water,250,15.00
10.04.2018,Water,250,16.00
10.04.2018,Gym,1,16.00
10.04.2018,Apple,212,16.25
10.04.2018,Cookie,36,17.00
10.04.2018,Dumplings with potatoes,187,17.10
10.04.2018,Fruit tea,250,17.00
10.04.2018,Mineral water (Prolom),250,18.50
10.04.2018,Water,250,19.22
10.04.2018,Dried apricots,35,19.40
10.04.2018,Cookie,20,19.40
10.04.2018,Water,250,20.15
10.04.2018,Paste,28,21.15
10.04.2018,Bread,13,21.15
10.04.2018,Cookie,20,21.15
10.04.2018,Water,250,22.05
10.04.2018,Water,125,0.15
10.04.2018,Walnuts,25,0.15
10.04.2018,Cookie,15,0.15
10.04.2018,Curd,130,0.15
11.04.2018,Water,300,7.30
11.04.2018,Lemon water,300,9.35
11.04.2018,Oatmeal,218,10.20
11.04.2018,Cookie,25,10.20
11.04.2018,Fruit tea,250,10.20
11.04.2018,Water,250,13.15
11.04.2018,Apple,179,13.50
11.04.2018,Chicken cutlet,85,14.10
11.04.2018,Vegetable salad,100,14.10
11.04.2018,Boiled potatoes,100,14.10
11.04.2018,Mors,250,14.10
11.04.2018,Mineral water (Esentuki 4),250,16.30
11.04.2018,Bread,39,16.40
11.04.2018,Walnuts,11,16.40
11.04.2018,Red caviar,5,16.40
11.04.2018,Bread,25,17.00
11.04.2018,Cake,70,17.20
11.04.2018,Water,250,18.10
11.04.2018,Cake,20,18.20
11.04.2018,Dried apricots,29,18.50
11.04.2018,Pumpkin seeds,21,18.50
11.04.2018,Water,250,19.10
11.04.2018,Walnuts,28,20.15
11.04.2018,Water,250,20.25
11.04.2018,Dumplings with potatoes,213,20.35
11.04.2018,Cake,35,20.35
11.04.2018,Fruit tea,250,20.35
11.04.2018,Water,250,22.20
11.04.2018,Curd,130,0.15
12.04.2018,Water,300,7.30
12.04.2018,Lemon water,300,10.00
12.04.2018,Oatmeal,220,10.40
12.04.2018,Fruit tea,250,10.40
12.04.2018,Cake,34,10.40
12.04.2018,Latte,400,12.40
12.04.2018,Chicken,80,12.00
12.04.2018,Vegetable salad,80,12.00
12.04.2018,Mashed potatoes,150,12.00
12.04.2018,Mors,250,12.00
12.04.2018,Mineral water (Esentuki 4),250,16.10
